ANSWER,CLUE
ABU,ŞAŞMA VE KORKU BİLDİRİR
ABUHAVA,ESKİ DİLDE İKLİM
ABUHAVA,İKLİM
ABULİ,İRADE KAYBI
ABULİ,İRADE YİTİMİ
ABUS,"ASIK SURATLI, SOMURTKAN"
ABUS,SOMURTKAN
ABİ,"AÇIK MAVİ, KIRMIZI VE BEYAZ, SIKI VE TATLI KÜÇÜK ELMA"
ABİ,AĞABEY
ABİ,KISACA AĞABEY
ABİDE,ANIT
ABİR,"SAFRAN, AMBER VE MİSK KARIŞTIRILARAK YAPILAN GÜZEL BİR KOKU"
ABİRU,YÜZ SUYU
ABİS,DENİZ VE OKYANUSTA GÜNEŞ IŞIĞININ ULAŞMADIĞI DERİN YER
ABİS,OKYANUSLARIN ÇOK DERİN YERİ
ABİYE,GECE KIYAFETİ
ABİYE,GÖSTERİŞLİ GECE GİYSİSİ
AC,AKTİNYUM (SİMGE)
AC,AKTİNYUM (SİMGESİ)
AC,AKTİNYUM ELEMENTİNİN SİMGESİ
AC,AKTİNYUM SİMGESİ
AC,AKTİNYUMUN SİMGESİ.
ACABA,"MERAK, KARARSIZLIK VEYA KUŞKU ANLATAN BİR SÖZ, ACEP"
ACABA,"MERAK, KUŞKU"
ACABA,"MERAK, KUŞKU BELİRTİR"
ACAR,ATILGAN
ACAR,GÖZÜPEK
ACAYİP,"GARİP, TUHAF"
ACE,"TENİSTE HIZLI, İYİ, KARŞILANAMAYAN SERVİS ATIŞI"
ACEL,ACELE EDEN KİŞİ
ACELE,TEZ OLARAK
ACELE,"ÇABUK, TEZ"
ACELE,"ÇABUK, TEZ, İVEDİ"
ACEM,İRANLI
ACEM,"İRANLI, İRANİ"
ACEMİ,DENEYİMİ OLMAYAN
ACEMİ,MESLEĞİNDE YENİ OLAN
ACEMİ,SARAYA YENİ ALINMIŞ CARİYE
ACENTE,ANA FİRMA VEYA KİŞİ İLE BAĞI OLAN
ACENTE,BANKA ŞUBESİ
ACENTE,BİR KURULUŞUN YAPTIĞI İŞİ ONUN ADINA KAZANÇ KARŞILIĞINDA YÜRÜTEN DAHA KÜÇÜK KURULUŞ
ACEP,ACABA
ACEZE,"ACİZLER, GÜÇSÜZLER"
ACEZE,"ACİZLER, GÜÇSÜZLER."
ACEZE,DÜŞKÜNLER
ACEZE,"ÂCİZLER, ÂCİZ KİMSELER"
ACI,CEMAL ŞAN FİLMİ
ACI,IZDIRAP
ACI,TATLI KARŞITI
ACIGÖL,NEVŞEHİR İLÇESİ
ACIGÖL,NEVŞEHİR'İN BİR İLÇESİ
ACILI,ACI KATILMIŞ OLAN
ACIMA,"MERHAMET, ÜZÜNTÜ"
ACIMAK,MERHAMET ETMEK
ACIMAK,"TADI ACI DURUMA GELMEK, ACILAŞMAK"
ACUK,YABANİ ELMA
ACUL,"TEZ CANLI,"
ACUL,"TEZ CANLI, İVECEN"
ACUL,"TEZ CANLI, İÇİ TEZ, İVECEN"
ACUR,"KABAKGİLLERDEN, KABUĞU ÇİZGİLİ VE TÜYLÜ"
ACUR,"KABAKGİLLERDEN, KABUĞU ÇİZGİLİ VE TÜYLÜ, SARIMTIRAK, YEŞİL VEYA SARI, ÜZERİ YEŞİL LEKELİ, İRİCE BİR ÇEŞİT HIYAR"
ACUR,İRİCE BİR ÇEŞİT HIYAR
ACUZE,HUYSUZ VE YAŞLI KADIN
ACUZE,"HUYSUZ, ÇİRKİN, YAŞLI KADIN, CADI KARI"
ACİL,İVEDİ
ACİL,"İVEDİ, İVEDİLİ"
ACİLEN,ÇABUCAK
ACİLEN,"ÇABUCAK, İVEDİLİKLE"
ACİZ,"DÜŞKÜN, GÜÇSÜZ"
ACİZ,GÜCÜ BİR İŞE YETMEZ
ACİZ,GÜÇSÜZLÜK
AD,"SAYMA, SAYILMA"
AD,İSİM
ADA,BİR CİNS ORKİDE
ADA,CEZİRE
ADA,HER YANI SU ÇEVRİLİ KARA PARÇASI
ADA,SUYLA ÇEVRİLİ KARA
ADAK,"ADANILAN ŞEY, NEZİR"
ADAK,DİNEN MÜKELLEF TUTULMADIĞI HALDE KİŞİNİN KENDİ VAADİYLE ÜZERİNE VACİP KILDIĞI İBADET
ADAK,NEZİR
ADAKARASI,AVŞA ADASINDA YETİŞEN VE İYİ BİR SOFRA ŞARABI ELDE EDİLEN KIRMIZI ÜZÜM CİNSİ
ADAKLI,BİNGÖL İLÇESİ
ADAKLI,NİŞANLI
ADALAR,İSTANBUL İLÇESİ
ADALE,KAS
ADALET,HAK
ADALET,HAK VE HUKUKA UYGUNLUK
ADALET,"HAK, HUKUK"
ADALET,HALK VE HUKUKA UYGUNLUK
ADAM,ERKEK KİŞİ
ADAMA,NEZRETME
ADAMAK,NEZRETMEK
ADAMOTU,KAN KURUTAN
ADAMOTU,PATLICAN GİLLERDEN BİR BİTKİ
ADAMOTU,PATLICANGİLLERDEN BİR BİTKİ
ADANA,01 PLAKALI İLİMİZ
ADANA,BİR İLİMİZ
ADANA,PLAKASI 01 OLAN İLİMİZ
ADAP,YOL YORDAM
ADAP,"YOL, YORDAM, TÖRE"
ADAPAZARI,SAKARYA İLÇESİ
ADASE,MERCEK
ADAVET,DÜŞMANLIK
ADAY,NAMZET
ADAŞ,ADLARI AYNI OLANLAR
ADAŞ,ADLARI AYNI OLANLARDAN HER BİRİ.
ADEM,SEMAVİ KİTAPLARA GÖRE İLK İNSAN VE İLK PEYGAMBER.
ADEM,İLK PEYGAMBER
ADEM,İLK İNSAN
ADEN,ORTADOĞU'DA KÖRFEZ
ADENİT,AKKAN BEZİ İLTİHABI
ADENİT,LENF BEZİ İLTİHABI
ADENİT,LENF DÜĞÜMLERİNİN İLTİHABI
ADESE,KOVUCUK
ADESE,MERCEK
ADET,TANE
ADETA,"HEMEN HEMEN, SANKİ"
ADETA,SANKİ
ADLİ,ADALETLE İLGİLİ
ADLİ,İKİNCİ BAYEZİT’İN ŞİİRLERİNDE KULLANDIĞI MAHLAS
ADNAN,‘... BİRİCİK’ (AKTÖR
ADNAN,‘... BİRİCİK’ (AKTÖR)
ADNAN,"‘... ÖZER’ (ŞAİR, YAZAR)"
ADRES,BİR KİŞİ VEYA KURULUŞUN BULUNDUĞU YERİN TANIMI
ADRES,ZARFA YAZILIR
ADİ,BAYAĞI
ADİ,"BAYAĞI, SIRADAN"
ADİ,"DEĞERSİZ, SIRADAN"
ADİL,ADALETLİ
ADİL,ZAMİR
ADİLANE,HAKÇA
ADİLİK,BAYAĞILIK
AEROBİK,BİR JİMNASTİK TÜRÜ
AEROBİK,MÜZİKLİ JİMNASTİK
AEROFOBİ,HAVA KORKUSU
AEROLİT,GÖKTAŞI. TAŞ METEORİT
AEROSKOP,HAVADAKİ TOZ TANECİKLERİNİ ÖLÇMEYE YARAYAN ARAÇ
AF,BAĞIŞLAMA
AF,SUÇ BAĞIŞLAMA
AF,SUÇU BAĞIŞLAMA
AFACAN,ZEKİ VE YARAMAZ (ÇOCUK)
AFACAN,"ZEKİ, YARAMAZ"
AFACAN,"ZEKİ, YARAMAZ ÇOCUK"
AFAK,UFUKLAR
AFAKAN,İÇ SIKINTISI
AFAKİ,GEREKSİZ SÖZ
AFAKİ,"GEREKSİZ, ÖNEMSİZ (SÖZ)"
AFAL,ŞAŞKIN
AFAL,"ŞAŞKIN, DAĞINIK"
AFARA,HARMANDA ÜRÜN KALINTISI
AFARA,TAHILIN TAŞ VE SAMANLA KARIŞMASI
AFAT,AFETLER
AFAT,"BELALAR, KIRANLAR"
AFAT,KIRANLAR
AFAZİ,SÖZ YİTİMİ
AFAZİ,"TIPTA, SÖZ YİTİMİ"
AFERİN,BRAVO
AFERİN,BRAVO!
AFERİST,"DALAVERECİ, KOLPOCU"
AFERİST,"VURGUNCU, DALAVERECİ, SPEKÜLATÖR"
AFET,KIRAN
AFET,"YIKIM, KIRAN"
AFET,ÇEŞİTLİ DOĞA OLAYLARININ SEBEP OLDUĞU YIKIM
AFGANİ,AFGANİSTANIN PARA BİRİMİ
AFGANİ,AFGANİSTAN’IN PARA BİRİMİ
AFONİ,SES YİTİMİ
AFOROZ,HIRİSTİYANLIKTA CEMAATTEN KOVMA
AFOROZ,HIRİSTİYANLIKTA KİLİSE TARAFINDAN VERİLEN CEMAATTEN KOVMA CEZASI
AFRO,"KISA, KIVIRCIK, KABARIK SAÇ"
AFT,AĞZIN İÇİNDE OLUŞAN PAMUKÇUK
AFT,AĞZIN İÇİNDEKİ PAMUKÇUK
AFYON,BİR İLİMİZ
AFİ,ABARTILI DAVRANIŞ
AFİ,ARGODA GÖSTERİŞ
AFİ,"ARGODA GÖSTERİŞ, ÇALIM"
AFİ,CAKA FİYAKA
AFİ,"FİYAKA, CAKA"
AFİ,"GÖSTERİŞ, ÇALIM, CAKA"
AFİF,İFFETLİ (ERKEK)
AFİF,"İFFETLİ, NAMUSLU"
AFİFE,İFFETLİ KADIN
AFİLİ,GÖSTERİŞLİ
AFİLİ,"GÖSTERİŞLİ, ÇALIMLI"
AFİS,GÜMÜŞBALIĞIN IN KÜÇÜĞÜ
AFİS,GÜMÜŞBALIĞINI N KÜÇÜĞÜ
AFİS,GÜMÜŞBALIĞININ KÜÇÜĞÜ
AFİS,GÜMÜŞBALIĞININ KÜÇÜĞÜNE VERİLEN BİR AD
AFİTAP,GÜNEŞ
AFİŞ,RESİMLİ DUVAR İLANI
AG,GÜMÜŞ (SİMGE)
AG,GÜMÜŞ SİMGESİ
AG,GÜMÜŞ'ÜN SİMGESİ
AGA,KALENDER VE BABACAN
AGA,KALENDER VE BABACAN KİMSE
AGA,"KÖYÜN ZENGİNİ, AĞA"
AGA,"MERT, BABACAN"
AGA,"MERT, BABACAN (HALK AĞZINDA)"
AGAH,"BİLGİLİ, HABERLİ"
AGAH,"BİLGİLİ, HABERLİ, UYANIK"
AGAH,"BİLİR, BİLGİLİ"
AGAMİ,BORAZAN KUŞU
AGARAGAR,BİR TÜR JELATİN
AGARAGAR,JELOZ
AGE,İSHAL İLE SEYREDEN ENFEKSİYON
AGEL,"ARAP ERKEK GİYİMİNDE, KEFİYENİN KAYMAMASI İÇİN BAŞA GEÇİRİLEN AYARLI ÇEMBER. YÜN ÇEMBER BAĞ"
AGNOZİ,ALGI KAYBI VEYA YOKLUĞU
AGNOZİ,TANISIZLIK
AGNİ,HİNT TANRISI
AGORA,"ESKİ YUNAN KENTLERİNDE PAZAR YERİ, ANTİK KENT MEYDANI. YÖNETİM, POLİTİKA VE TİCARET İŞLERİNİ KONUŞMAK İÇİN HALKIN TOPLANDIĞI ALAN"
AGORA,ESKİ YUNAN'DA HALK MEYDANI
AGORA,YUNAN DEVRİNDE MEYHANE
AGORA,YUNAN KLASİK DEVRİNDE MEYDAN
AGRA,HİNDİSTAN’DA BİR KENT
AGRA,TAC MAHAL’İN BULUNDUĞU KENT
AGRAF,KOPÇA
AGRAF,"KOPÇA, KANCA"
AGRAFİ,YAZMA YİTİMİ
AGU,BEBEK SESİ
AH,BEDDUA
AH,"BEDDUA, İLENME"
AHA,"İŞTE, BURADA (HALK AĞZI)"
AHA,‘İŞTE’ ANLAMINDA ÜNLEM
AHALİ,BİR YERDE OTURANLAR
AHALİ,"BİR YERDE TOPLANAN KALABALIK, HALK"
AHALİ,HALK
AHAR,HATTAT CİLASI
AHAR,KAĞIT CİLASI. HATTATLARIN KAĞIT CİLALAMAKTA KULLANDIKLARI ÖZEL BİR BİLEŞİM
AHD,SÖZ VERME
AHENK,UYUM
AHENK,"UYUM, RİTİM"
AHENKSİZ,UYUMSUZ
AHESTE,"AĞIR, YAVAŞ"
AHESTE,"YAVAŞ, AĞIR"
AHFAT,"TORUNLAR, SOY"
AHIR,BÜYÜKBAŞ HAYVAN BARINAĞI
AHIR,DAM
AHIR,HAYVAN DAMI
AHKAM,HÜKÜMLER
AHLAKİ,AHLAKA UYGUN
AHLAT,BİTLİS İLÇESİ
AHLAT,YABAN ARMUDU
AHMET,‘... KURAL’ (AKTÖR)
AHMET,‘... ZEKİ YEŞİL’ (YAZAR)
AHMETLİ,MANİSA İLÇESİ
AHMETLİ,MANİSA'NIN BİR İLÇESİ
AHMETÜMİT,'SULTANI ÖLDÜRMEK' YAZARI
AHMETÜMİT,ÜNLÜ BİR YAZAR
AHU,CEYLAN
AHU,CEYLAN KARACA
AHU,"GÜZEL, İNCE, ZARİF KADIN. CEYLAN"
AHUDUDU,AĞAÇÇİLEĞİ
AHUSUNGUR,ÜNLÜ BİR AKTRİS
AHUTÜRKPENÇE,RESİMDEKİ OYUNCU
AHUYAĞTU,RESİMDEKİ OYUNCU
AHİ,AHİLİK OCAĞINDAN OLAN KİMSE
AHİ,AHİLİK YANDAŞI
AHİ,"ELİ AÇIK, CÖMERT"
AHİLİK,CÖMERTLİK
AHİR,"SON, SONRAKİ"
AHİR,"SONRA, SONUNDA"
AHİRET,ÖBÜR DÜNYA
AHİRET,ÖTEKİ DÜNYA
AHİRET,İSLAM TERMONOLOJİSİNDE ÖLÜMDEN SONRA GİDİLECEK YERE VERİLEN BİR İSİM
AHİT,ANTLAŞMA
AHİT,MÜRİDİN TARİKATA GİRERKEN ŞEYHE VERDİĞİ SÖZ
AHİT,"VERDİĞİ SÖZDE DURMA, ANT, ANTLAŞMA"
AHİZE,TELEFON ALMACI
AHİZE,TELEFONDA ALICI
AHİZE,TELEFONUN BİR BÖLÜMÜ
AHŞAP,TAHTADAN YAPILMIŞ
AI,YAPAY ZEKA (KISALTMA)
AJ,"ESKİ DİLDE DİNLENME, İSTİRAHAT"
AJAN,CASUS
AJAN,GİZLİ GÖREVLİ
AJAN,"GİZLİ GÖREVLİ, CASUS"
AJANDA,ANDAÇ
AJANDA,TAKVİMLİ DEFTER
AJANS,HABER TOPLAMA VE DAĞITMA KURULUŞU
AJANS,HABER TOPLAMA VE YAYMA İŞLEMİYLE UĞRAŞAN KURULUŞ
AJANS,RADYODA HABER BÜLTENİ
AJUR,DELİKLİ ÖRGÜ
AJUR,"DELİKLİ ÖRGÜ, GÖZENEK"
AJİTE,"YERİNDE DURAMAYAN KİMSE, YÖNLENDİRME"
AJİTE,YÖNLENDİRME
AK,BEYAZ
AK,BEYAZ LEKE
AKA,AĞABEY (HALK AGZI)
AKA,AĞABEY (HALK DİLİ)
AKA,"AĞABEY, ABİ, EDE"
AKA,"BÜYÜK KARDEŞ, ABİ"
AKA,ESKİ BİR UYGARLIK
AKA,ESKİR BİR UYGARLIK
AKABE,SARP GEÇİT
AKABE,SARP KAYALIK
AKABE,"TEHLİKELİ, SARP VE ZOR GEÇİT"
AKADEMİ,"BİLGİNLER, YAZARLAR, SANATÇILAR KURULU"
AKADEMİ,YÜKSEK OKUL
AKADEMİ,YÜKSEKOKUL
AKADEMİK,AKADEMİ İLE İLGİLİ
AKADEMİK,BİLİMSEL NİTELİĞİ OLAN
AKAJU,MAUN AĞACI
AKAK,AKARSU YATAĞI
AKAK,"AKARSU YATAĞI, MECRA"
AKAK,MECRA
AKAL,EN AKILLI (OSMANLICA)
AKAL,İŞLEMLER
AKALA,AMERİKAN PAMUĞU
AKALA,BİR PAMUK TÜRÜ
AKALA,BİR TÜR PAMUK
AKALA,PAMUK ÇEŞİDİ
AKALAN,SAMSUN'DA TARİHİ BİR KALE
AKALEM,OSMANLI'DA SALTANAT SANCAĞI
AKALEM,YEDİ OSMANLI SALTANAT SANCAĞINDAN BİRİNİN ADI
AKAMET,"BAŞARISIZLIK, SONUÇSUZLUK"
AKAMET,"KISIRLIK, VERİMSİZLİK"
AKAMET,SONUÇSUZLUK
AKAN,‘TARIK ...’ (UNUTULMAZ AKTÖR)
AKAR,KİRA GELİRİ GETİREN MÜLK
AKAR,"SIVI, MAYİ"
AKAR,"SIVI, MAYİ, LİKİT"
AKAR,‘FUNDA ...’ (ŞARKICI)
AKAR,‘SERDAR ...’ (YÖNETMEN)
AKARET,GELİR GETİREN MÜLK
AKARET,KİRA GELİRİ GETİREN MÜLK
AKARET,KİRAYA VERİLEREK GELİR GETİREN MÜLK
AKARSU,IRMAK
AKARSU,TEK SIRA ELMASTAN GERDANLIK
AKASYA,BİR SÜS VE GÖLGE AĞACI
AKASYA,SALKIM AĞACI
AKAÇ,BİR YERDE BİRİKEN SIVILARI DIŞARIYA AKITMAKTA KULLANILAN OLUK VEYA BORU
AKAÇ,"KANAL, SU YOLU"
AKAÇ,YER ALTI SU OLUĞU
AKAĞAÇ,BEYAZ KABUKLU BİR AĞAÇ TÜRÜ
AKAĞAÇ,BİR AĞAÇ TÜRÜ
AKAİT,BİR DİNİN ÖĞRENİLMESİ GEREKEN İNANÇLARININ VE TAPINMA KURALLARININ TÜMÜ
AKAİT,BİR DİNİN ÖĞRENİLMESİ GEREKEN İNANÇLARININ VE TAPINMA KURALLARININ TÜMÜ.
AKAİT,İNANIŞLAR
AKAİT,İNANÇLARININ VE TAPINMA KURALLARININ TÜMÜ
AKAİT,İTİKAD OLUNAN HAKİKATLAR
AKAŞİ,JAPONYADA KENT
AKAŞİ,JAPONYA’DA KENT
AKBABA,‘OZAN ...’ (AKTÖR)
AKBASMA,HALK DİLİNDE KATARAKT
AKDENİZ,MERSİN İLÇESİ
AKDENİZ,ÜLKEMİZİN GÜNEYİNDEKİ DENİZ
AKDUT,BEYAZ RENKTE OLAN BİR TÜR DUT
AKEMİ,MERMER YAPIŞTIRICISI
AKEMİ,İKİ ELEMANLI MERMER YAPIŞTIRICISI
AKEN,"BOTANİKTE, KABUĞU ÇATLAMAMIŞ MEYVE KABUĞUNA VERİLEN AD"
AKEN,TEK TOHUMLU KURU MEYVE
AKERE,ÖKÜZ YEMLİĞİ
AKI,ANLAK
AKI,SEYELAN
AKIL,AKILLI
AKIL,ANLAK
AKIL,KAVRAMA GÜCÜ
AKIL,US
AKIM,CEREYAN
AKIN,TOPLU OLARAK YAPILAN BASKIN
AKIN,TOPLUCA YAPILAN BASKIN
AKIN,‘... AKINÖZÜ’ (AKTÖR)
AKITMA,AT ALNINDAKİ BEYAZ LEKE
AKKAYA,‘SARP ...’ (AKTÖR)
AKKEFAL,SAZAN BALIĞI FAMİLYASINDAN BİR TATLI SU BALIĞI
AKKIŞLA,KAYSERİ İLÇESİ
AKKUŞ,ORDU İLÇESİ
AKKÖY,DENİZLİ İLÇESİ
AKLAMA,"HUKUKTA, TEMİZE ÇIKARMA"
AKLAMA,İBRA
AKLAMAK,İBRA ETMEK
AKLİ,AKILLA İLGİLİ
AKLİ,AKILSAL
AKLİ,USSAL
AKM,ATATÜRK KÜLTÜR MERKEZİ
AKM,ATATÜRK KÜLTÜR MERKEZİ (KISACA)
AKMA,REÇİNE
AKMA,"REÇİNE, ÇAM SAKIZI"
AKMAN,"BOZULMAMIŞ SAF, TEMİZ"
AKMAN,"BOZULMAMIŞ, SAF, TEMİZ"
AKMAN,"SAF, TEMİZ"
AKMAN,"TEMİZ, İFFETLİ"
AKNE,ERGENLİK SİVİLCESİ
AKNE,GENÇLİK SİVİLCESİ
AKNE,SİVİLCE
AKONT,BİR BORCA KARŞILIK HESABI DAHA SONRA GÖRÜLMEK ÜZERE YAPILAN KISMİ ÖDEME
AKONT,KISMİ BORÇ ÖDEMESİ
AKOR,MÜZİKTE ARMONİ KURALLARINA GÖRE ÜST ÜSTE BİNDİRİLMİŞ SESLER. ÜÇ YADA DAHA ÇOK SESİN BİR ARADA TINLAMASI
AKOR,MÜZİKTE ÜÇ YA DA DAHA ÇOK SESİN BİR ARADA TINLAMASI
AKOR,ÇOK SESİN BİR ARADA TINLAMASI
AKOR,ÜÇ VEYA DAHA ÇOK SESİN BİR ARADA TINLAMASI
AKORT,"BİR ÇALGIDA DOĞRU SES VERMESİ İÇİN YAPILAN AYAR, DÜZEN."
AKORT,ÇALGIYI AYARLAMA
AKOVA,SAKARYA OVASININ DİĞER ADI
AKR,ESKİDEN FRANSA’DA KULLANILAN 52 AR DEĞERİNDE OLAN YER ÖLÇÜSÜ
AKRA,GANA'NIN BAŞKENTİ
AKRABA,HISIM
AKRABA,HÄ±SÄ±M
AKRAN,BOYDAŞ
AKRAN,"YAŞIT, AYNI YAŞ GRUBUNDA OLAN KİŞİLER"
AKRAN,"YAŞÇA DENK, BOYDAŞ"
AKREDİTİF,KREDİ MEKTUBU
AKREP,BİR BURÇ
AKREP,BİR BURÇ ADI
AKREP,ZEHİRLİ İĞNELİ BÖCEK
AKROBAT,CAMBAZ
AKRİLİK,SENTETİK BİR BOYA
AKRİLİK,ÖZELLİKLE RESİM YAPIMINDA KULLANILAN SENTETİK BİR BOYA
AKS,DİNGİL
AKSA,ESKİ DİLDE ÇOK UZAK
